Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A14006_001,SE_A10001_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005
"060371863011","15000US060371863011","Block Group 1, Census Tract 1863.01, Los Angeles County, California","Block Group 1, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015231",,,,,"06","037",,,,"186301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,715,1771.229,0.403674457178952,715,401,314,715,34,49,11,18,4,127,156,88,28,116,67,17,715,550,0,6,68,0,87,4,357,160,121,39,8,31,197,107,90,73798,374,357,245,112,715,18,77,95,620
"060371863012","15000US060371863012","Block Group 2, Census Tract 1863.01, Los Angeles County, California","Block Group 2, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015232",,,,,"06","037",,,,"186301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,785,44793.68,0.0175247916206562,785,360,425,785,34,26,42,35,185,104,95,102,117,45,0,0,785,99,49,0,36,0,596,5,207,158,86,72,22,50,49,21,28,35197,238,207,56,151,785,274,219,493,292
"060371863013","15000US060371863013","Block Group 3, Census Tract 1863.01, Los Angeles County, California","Block Group 3, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015233",,,,,"06","037",,,,"186301","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148,1148,41505.18,0.0276592015098139,1148,651,497,1148,82,128,76,52,159,176,243,145,68,19,0,0,1148,397,22,24,0,0,695,10,293,234,108,126,72,54,59,45,14,33151,338,293,20,273,1137,384,495,879,258
"060371863021","15000US060371863021","Block Group 1, Census Tract 1863.02, Los Angeles County, California","Block Group 1, Census Tract 1863.02, Los Angeles County, California","ca","150","00","ACSSF","0015234",,,,,"06","037",,,,"186302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376,1376,6585.806,0.208934172667981,1376,695,681,1376,44,117,69,81,141,184,190,246,168,52,36,48,1376,541,12,0,391,0,333,99,523,314,210,104,20,84,209,94,115,63688,564,523,316,207,1376,55,449,504,872
"060371864011","15000US060371864011","Block Group 1, Census Tract 1864.01, Los Angeles County, California","Block Group 1, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015237",,,,,"06","037",,,,"186401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463,2463,25634.48,0.0960815262464537,2463,1279,1184,2463,216,198,154,125,366,409,267,327,255,88,58,0,2463,959,50,0,269,0,1156,29,637,527,273,254,120,134,110,84,26,31065,677,637,48,589,2446,615,967,1582,864
"060371864012","15000US060371864012","Block Group 2, Census Tract 1864.01, Los Angeles County, California","Block Group 2, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015238",,,,,"06","037",,,,"186401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258,1258,4572.091,0.275147606861499,1258,629,629,1258,93,98,116,50,151,131,144,113,85,78,129,70,1258,457,23,0,244,0,518,16,362,261,145,116,12,104,101,18,83,26667,379,362,48,314,1235,380,307,687,548
"060371864031","15000US060371864031","Block Group 1, Census Tract 1864.03, Los Angeles County, California","Block Group 1, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015239",,,,,"06","037",,,,"186403","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019,1019,14310.8,0.0712049631117982,1019,397,622,1019,59,37,16,31,81,334,98,137,140,23,21,42,1019,213,31,0,234,0,525,16,315,216,131,85,11,74,99,35,64,40083,350,315,49,266,986,111,213,324,662
"060371864032","15000US060371864032","Block Group 2, Census Tract 1864.03, Los Angeles County, California","Block Group 2, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015240",,,,,"06","037",,,,"186403","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051,2051,14954.59,0.137148511884997,2051,1033,1018,2051,97,137,188,72,227,206,316,345,189,188,86,0,2051,731,23,0,398,0,831,68,513,452,259,193,81,112,61,21,40,43964,513,513,237,276,2051,358,606,964,1087
"060371871011","15000US060371871011","Block Group 1, Census Tract 1871.01, Los Angeles County, California","Block Group 1, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015243",,,,,"06","037",,,,"187101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,1154,9234.724,0.124963127242288,1154,628,526,1154,25,68,26,13,48,294,153,85,187,155,66,34,1154,615,22,0,447,8,62,0,507,265,167,98,22,76,242,128,114,45625,549,507,260,247,1154,172,176,348,806
"060371871012","15000US060371871012","Block Group 2, Census Tract 1871.01, Los Angeles County, California","Block Group 2, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015244",,,,,"06","037",,,,"187101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,1984,11762.67,0.168669121246894,1984,1105,879,1984,62,54,91,85,389,192,274,314,175,202,138,8,1984,1128,0,0,558,0,217,81,742,406,268,138,14,124,336,244,92,78000,772,742,337,405,1984,340,394,734,1250
