Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A14006_001,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A14008_001,SE_A14010_001,SE_A14011_001,SE_A14012_001,SE_A14013_001,SE_A14014_001,SE_A14014_002,SE_A14014_003,SE_A14014_004,SE_A14014_005,SE_A14014_006,SE_A14014_007,SE_A15001_001,SE_A15001_002,SE_A15001_003,SE_A15001_004,SE_A15001_005,SE_A15001_006,SE_A15001_007,SE_A15001_008,SE_A15001_009,SE_A15001_010,SE_A15001_011,SE_A15001_012,SE_A15001_013,SE_A15001_014,SE_A15001_015,SE_A15001_016,SE_A15001_017,SE_A15001_018,SE_A14015_001,SE_A14015_002,SE_A14015_003,SE_A10011_001,SE_A10011_002,SE_A10011_003,SE_A10019_001,SE_A10019_002,SE_A10019_003,SE_A10016_001,SE_A10016_002,SE_A10016_003,SE_A10012_001,SE_A10012_002,SE_A10012_003,SE_A10017_001,SE_A10017_002,SE_A10017_003,SE_A10018_001,SE_A10018_002,SE_A10018_003,SE_A10014_001,SE_A10014_002,SE_A10014_003,SE_A10015_001,SE_A10015_002,SE_A10015_003,SE_A10013_001,SE_A10013_002,SE_A10013_003,SE_A14024_001,SE_A14024A_001,SE_A14024B_001,SE_A14024C_001,SE_A14024D_001,SE_A14024E_001,SE_A14024F_001,SE_A14024G_001,SE_A14024H_001,SE_A14024I_001
"060371863011","15000US060371863011","Block Group 1, Census Tract 1863.01, Los Angeles County, California","Block Group 1, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015231",,,,,"06","037",,,,"186301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,715,1771.229,0.403674457178952,357,10,0,18,5,23,6,10,0,0,52,67,38,27,28,28,45,73798,73798,66581,,,,,,,73606,65735,103184.31372549,123214,148650.625,54781,66045.1776649746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,305,52,357,291,66,357,34,323,357,107,250,357,90,267,357,0,357,357,0,357,357,64,293,357,31,326,52204,55013,,,69469,,22039,,46704,53459
"060371863012","15000US060371863012","Block Group 2, Census Tract 1863.01, Los Angeles County, California","Block Group 2, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015232",,,,,"06","037",,,,"186301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,785,44793.68,0.0175247916206562,207,10,25,24,16,8,19,26,0,0,18,0,35,4,22,0,0,35197,35197,35375,,,,,31477,,30114,,48588.4057971014,35000,53569.6202531646,35197,32528.5714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,207,0,207,196,11,207,32,175,207,0,207,207,35,172,207,0,207,207,11,196,207,42,165,207,17,190,13527,13114,,,11761,,9402,,9842,
"060371863013","15000US060371863013","Block Group 3, Census Tract 1863.01, Los Angeles County, California","Block Group 3, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015233",,,,,"06","037",,,,"186301","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148,1148,41505.18,0.0276592015098139,293,21,53,15,10,27,56,0,20,17,48,17,5,4,0,0,0,33151,33151,34250,,,,,33080,,33464,28750,35311.9453924915,32917,33818.8034188034,29250,33433.8983050847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,267,26,293,261,32,293,23,270,293,11,282,293,21,272,293,19,274,293,34,259,293,27,266,293,32,261,9745,11136,32100,,,,8378,,8938,25334
"060371863021","15000US060371863021","Block Group 1, Census Tract 1863.02, Los Angeles County, California","Block Group 1, Census Tract 1863.02, Los Angeles County, California","ca","150","00","ACSSF","0015234",,,,,"06","037",,,,"186302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376,1376,6585.806,0.208934172667981,523,27,4,25,11,34,86,0,7,51,7,52,103,15,15,55,31,63688,63688,65938,,,66563,,30900,,46477,66641,78170.5544933078,49500,77335.0318471338,65391,79425.8373205742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,416,107,523,400,123,523,95,428,523,76,447,523,93,430,523,30,493,523,66,457,523,72,451,523,128,395,30409,45436,,,29029,,10990,14620,22876,54029
"060371864011","15000US060371864011","Block Group 1, Census Tract 1864.01, Los Angeles County, California","Block Group 1, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015237",,,,,"06","037",,,,"186401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463,2463,25634.48,0.0960815262464537,637,62,33,42,89,81,58,8,12,18,57,56,48,34,6,33,0,31065,31065,27100,64000,,105221,,29625,,28607,26250,47723.3908948195,31898,46352.9411764706,23793,31942.7272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,546,91,637,541,96,637,69,568,637,26,611,637,120,517,637,55,582,637,66,571,637,43,594,637,70,567,13421,11100,30398,,28622,,10647,30514,11078,15402
"060371864012","15000US060371864012","Block Group 2, Census Tract 1864.01, Los Angeles County, California","Block Group 2, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015238",,,,,"06","037",,,,"186401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258,1258,4572.091,0.275147606861499,362,25,85,28,37,26,14,29,5,4,30,30,10,13,0,0,26,26667,26667,22279,,,19167,,32411,,28456,228482,48659.3922651934,38491,60723.3716475096,11602,13945.5445544554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,219,143,362,219,143,362,7,355,362,5,357,362,132,230,362,81,281,362,47,315,362,30,332,362,13,349,15079,23536,9243,,13877,,8353,,9316,62962
"060371864031","15000US060371864031","Block Group 1, Census Tract 1864.03, Los Angeles County, California","Block Group 1, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015239",,,,,"06","037",,,,"186403","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019,1019,14310.8,0.0712049631117982,315,0,41,19,6,20,30,41,15,9,20,24,41,30,15,4,0,40083,40083,48194,,,63125,,36708,,38977,48438,55329.8412698413,37250,57863.4259259259,32422,45012.1212121212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,269,46,315,269,46,315,49,266,315,21,294,315,51,264,315,52,263,315,22,293,315,29,286,315,37,278,19044,26812,,,21113,,14995,45600,16614,47365
"060371864032","15000US060371864032","Block Group 2, Census Tract 1864.03, Los Angeles County, California","Block Group 2, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015240",,,,,"06","037",,,,"186403","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051,2051,14954.59,0.137148511884997,513,26,0,32,24,9,31,99,50,38,18,49,36,38,57,6,0,43964,43964,39609,,,49063,,43508,,43429,28929,60242.4951267057,43750,57802.2123893805,43393,64014.7540983607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,437,76,513,436,77,513,49,464,513,60,453,513,175,338,513,48,465,513,2,511,513,77,436,513,64,449,16700,16144,,,17601,,16899,17724,15524,35702
"060371871011","15000US060371871011","Block Group 1, Census Tract 1871.01, Los Angeles County, California","Block Group 1, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015243",,,,,"06","037",,,,"187101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,1154,9234.724,0.124963127242288,507,58,40,47,67,22,17,0,0,10,12,49,53,14,28,90,0,45625,45625,24664,,,74766,,,,22545,125125,64739.2504930966,73776,68044.9056603774,24776,61119.4214876033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,364,143,507,352,155,507,69,438,507,52,455,507,144,363,507,71,436,507,52,455,507,47,460,507,28,479,31046,31963,40382,,29422,,27498,,22260,37532
"060371871012","15000US060371871012","Block Group 2, Census Tract 1871.01, Los Angeles County, California","Block Group 2, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015244",,,,,"06","037",,,,"187101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,1984,11762.67,0.168669121246894,742,37,8,28,92,27,57,16,30,6,46,3,181,132,26,53,0,78000,78000,83125,,,97961,,,,31667,86667,71489.7574123989,54706,74290.39408867,77083,64011.9047619048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742,633,109,742,555,187,742,236,506,742,94,648,742,255,487,742,75,667,742,3,739,742,69,673,742,88,654,28017,36533,,,20546,,9012,,21002,42289
