Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A14006_001,SE_A10001_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005
"060371863011","15000US060371863011","Block Group 1","Block Group 1, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015233",,,,,"06","037",,,,"186301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,765,1899.04,0.402835071050522,765,408,357,765,37,21,51,10,68,178,84,101,122,61,32,0,765,492,68,0,81,0,65,59,296,137,108,29,11,18,159,99,60,72045,323,296,161,135,765,47,86,133,632
"060371863012","15000US060371863012","Block Group 2","Block Group 2, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015234",,,,,"06","037",,,,"186301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228,1228,70072.16,0.0175247916206562,1228,715,513,1228,79,100,120,94,140,259,193,65,118,52,8,0,1228,721,28,31,57,0,385,6,286,213,43,170,129,41,73,52,21,32155,316,286,16,270,1228,634,287,921,307
"060371863013","15000US060371863013","Block Group 3","Block Group 3, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015235",,,,,"06","037",,,,"186301","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081,1081,39081.74,0.0276599737141639,1081,463,618,1081,136,42,64,11,74,281,148,91,97,69,52,16,1081,403,57,48,264,0,270,39,308,207,121,86,0,86,101,52,49,39833,329,308,60,248,1069,303,406,709,360
"060371863021","15000US060371863021","Block Group 1","Block Group 1, Census Tract 1863.02, Los Angeles County, California","ca","150","00","ACSSF","0015236",,,,,"06","037",,,,"186302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489,1489,7126.646,0.208934172667981,1489,741,748,1489,71,56,52,45,127,186,180,164,296,187,96,29,1489,795,59,0,378,0,139,118,578,306,233,73,15,58,272,193,79,65682,604,578,347,231,1458,156,208,364,1094
"060371864011","15000US060371864011","Block Group 1","Block Group 1, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015239",,,,,"06","037",,,,"186401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2505,2505,26090.27,0.0960128000593053,2505,1207,1298,2505,181,224,203,129,235,430,425,317,191,77,71,22,2505,1162,11,48,256,0,886,142,655,499,273,226,91,135,156,88,68,49250,711,655,90,565,2505,528,867,1395,1110
"060371864012","15000US060371864012","Block Group 2","Block Group 2, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015240",,,,,"06","037",,,,"186401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,932,3376.154,0.276053788666202,932,413,519,932,75,98,60,38,88,149,112,121,62,68,56,5,932,414,0,24,137,0,357,0,292,218,133,85,19,66,74,15,59,30147,328,292,12,280,932,248,277,525,407
"060371864031","15000US060371864031","Block Group 1","Block Group 1, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015241",,,,,"06","037",,,,"186403","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,1031,14479.33,0.0712049631117982,1031,479,552,1031,48,46,54,22,61,195,97,128,197,102,49,32,1031,489,19,53,236,0,182,52,389,237,155,82,21,61,152,112,40,47614,389,389,149,240,1031,150,246,396,635
"060371864032","15000US060371864032","Block Group 2","Block Group 2, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015242",,,,,"06","037",,,,"186403","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1712,1712,12275.23,0.139467827650167,1712,828,884,1712,92,84,89,55,174,262,232,241,127,172,114,70,1712,771,8,65,443,0,406,19,459,344,229,115,32,83,115,35,80,59917,480,459,232,227,1712,302,447,749,963
"060371871011","15000US060371871011","Block Group 1","Block Group 1, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015245",,,,,"06","037",,,,"187101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,1041,8330.457,0.124963127242288,1041,493,548,1041,59,20,16,47,86,200,188,165,83,148,21,8,1041,541,27,22,203,0,186,62,437,280,156,124,46,78,157,83,74,71314,462,437,232,205,1041,46,95,141,900
"060371871012","15000US060371871012","Block Group 2","Block Group 2, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015246",,,,,"06","037",,,,"187101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226,2226,13197.65,0.168666418531669,2226,1015,1211,2226,89,60,156,22,178,431,128,359,321,161,176,145,2226,1466,0,26,458,0,263,13,722,472,299,173,72,101,250,106,144,81143,814,722,400,322,2195,272,404,676,1519
