Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A04002_001,SE_A04002_002,SE_A04002_003,SE_A04002_004,SE_A04002_005,SE_A04002_006,SE_A04002_007,SE_A04002_008,SE_A04002_009,SE_A04002_010,SE_A04002_011,SE_A04002_012,SE_A04002_013,SE_A04002_014,SE_A04002_015,SE_A04002_016,SE_A04002_017,SE_A04002_018,SE_A04002_019,SE_A04002_020,SE_A04002_021,SE_A04002_022,SE_A04002_023,SE_A04002_024,SE_A04002_025,SE_A04002_026,SE_A04002_027,SE_A04002_028,SE_A04002_029,SE_A04002_030,SE_A04002_031,SE_B03002_001,SE_B03002_002,SE_B03002_003,SE_B03002_004,SE_B03002_005,SE_B03002_006,SE_B03002_007,SE_B03002_008,SE_B03002_009,SE_B03002_010,SE_B03002_011,SE_B03002_012,SE_B03002_013,SE_B03002_014,SE_B03002_015,SE_B03002_016,SE_B03002_017,SE_B03002_018,SE_B03002_019
"060371863011","15000US060371863011","Block Group 1, Census Tract 1863.01, Los Angeles County, California","Block Group 1, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015231",,,,,"06","037",,,,"186301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,715,1771.229,0.403674457178952,715,550,0,6,68,0,87,4,715,421,353,0,0,68,0,0,0,294,197,0,6,0,0,87,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371863012","15000US060371863012","Block Group 2, Census Tract 1863.01, Los Angeles County, California","Block Group 2, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015232",,,,,"06","037",,,,"186301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,785,44793.68,0.0175247916206562,785,99,49,0,36,0,596,5,785,68,10,22,0,36,0,0,0,717,89,27,0,0,0,596,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371863013","15000US060371863013","Block Group 3, Census Tract 1863.01, Los Angeles County, California","Block Group 3, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015233",,,,,"06","037",,,,"186301","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148,1148,41505.18,0.0276592015098139,1148,397,22,24,0,0,695,10,1148,54,32,15,0,0,0,0,7,1094,365,7,24,0,0,695,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371863021","15000US060371863021","Block Group 1, Census Tract 1863.02, Los Angeles County, California","Block Group 1, Census Tract 1863.02, Los Angeles County, California","ca","150","00","ACSSF","0015234",,,,,"06","037",,,,"186302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376,1376,6585.806,0.208934172667981,1376,541,12,0,391,0,333,99,1376,652,285,12,0,294,0,0,61,724,256,0,0,97,0,333,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371864011","15000US060371864011","Block Group 1, Census Tract 1864.01, Los Angeles County, California","Block Group 1, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015237",,,,,"06","037",,,,"186401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463,2463,25634.48,0.0960815262464537,2463,959,50,0,269,0,1156,29,2463,341,42,30,0,269,0,0,0,2122,917,20,0,0,0,1156,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371864012","15000US060371864012","Block Group 2, Census Tract 1864.01, Los Angeles County, California","Block Group 2, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015238",,,,,"06","037",,,,"186401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258,1258,4572.091,0.275147606861499,1258,457,23,0,244,0,518,16,1258,395,108,18,0,244,0,9,16,863,349,5,0,0,0,509,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371864031","15000US060371864031","Block Group 1, Census Tract 1864.03, Los Angeles County, California","Block Group 1, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015239",,,,,"06","037",,,,"186403","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019,1019,14310.8,0.0712049631117982,1019,213,31,0,234,0,525,16,1019,324,43,31,0,234,0,0,16,695,170,0,0,0,0,525,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371864032","15000US060371864032","Block Group 2, Census Tract 1864.03, Los Angeles County, California","Block Group 2, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015240",,,,,"06","037",,,,"186403","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051,2051,14954.59,0.137148511884997,2051,731,23,0,398,0,831,68,2051,524,64,23,0,392,0,0,45,1527,667,0,0,6,0,831,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371871011","15000US060371871011","Block Group 1, Census Tract 1871.01, Los Angeles County, California","Block Group 1, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015243",,,,,"06","037",,,,"187101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,1154,9234.724,0.124963127242288,1154,615,22,0,447,8,62,0,1154,889,412,22,0,447,8,0,0,265,203,0,0,0,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371871012","15000US060371871012","Block Group 2, Census Tract 1871.01, Los Angeles County, California","Block Group 2, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015244",,,,,"06","037",,,,"187101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,1984,11762.67,0.168669121246894,1984,1128,0,0,558,0,217,81,1984,1255,669,0,0,558,0,0,28,729,459,0,0,0,0,217,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
