Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A04002_001,SE_A04002_002,SE_A04002_003,SE_A04002_004,SE_A04002_005,SE_A04002_006,SE_A04002_007,SE_A04002_008,SE_A04002_009,SE_A04002_010,SE_A04002_011,SE_A04002_012,SE_A04002_013,SE_A04002_014,SE_A04002_015,SE_A04002_016,SE_A04002_017,SE_A04002_018,SE_A04002_019,SE_A04002_020,SE_A04002_021,SE_A04002_022,SE_A04002_023,SE_A04002_024,SE_A04002_025,SE_A04002_026,SE_A04002_027,SE_A04002_028,SE_A04002_029,SE_A04002_030,SE_A04002_031,SE_A03002_001,SE_A03002_002,SE_A03002_003,SE_A03002_020,SE_A03002_021,SE_A03002_004,SE_A03002_005,SE_A03002_006,SE_A03002_007,SE_A03002_008,SE_A03002_009,SE_A03002_010,SE_A03002_011,SE_A03002_012,SE_A03002_022,SE_A03002_023,SE_A03002_024,SE_A03002_013,SE_A03002_014,SE_A03002_015,SE_A03002_016,SE_A03002_017,SE_A03002_018,SE_A03002_019,SE_A03002_025
"060371863011","15000US060371863011","Block Group 1","Block Group 1, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015233",,,,,"06","037",,,,"186301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,765,1899.04,0.402835071050522,765,492,68,0,81,0,65,59,765,451,273,68,0,51,0,0,59,314,219,0,0,30,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371863012","15000US060371863012","Block Group 2","Block Group 2, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015234",,,,,"06","037",,,,"186301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228,1228,70072.16,0.0175247916206562,1228,721,28,31,57,0,385,6,1228,193,102,28,0,57,0,0,6,1035,619,0,31,0,0,385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371863013","15000US060371863013","Block Group 3","Block Group 3, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015235",,,,,"06","037",,,,"186301","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081,1081,39081.74,0.0276599737141639,1081,403,57,48,264,0,270,39,1081,383,66,57,0,240,0,0,20,698,337,0,48,24,0,270,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371863021","15000US060371863021","Block Group 1","Block Group 1, Census Tract 1863.02, Los Angeles County, California","ca","150","00","ACSSF","0015236",,,,,"06","037",,,,"186302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489,1489,7126.646,0.208934172667981,1489,795,59,0,378,0,139,118,1489,1114,656,32,0,378,0,0,48,375,139,27,0,0,0,139,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371864011","15000US060371864011","Block Group 1","Block Group 1, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015239",,,,,"06","037",,,,"186401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2505,2505,26090.27,0.0960128000593053,2505,1162,11,48,256,0,886,142,2505,384,120,0,0,256,0,0,8,2121,1042,11,48,0,0,886,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371864012","15000US060371864012","Block Group 2","Block Group 2, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015240",,,,,"06","037",,,,"186401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,932,3376.154,0.276053788666202,932,414,0,24,137,0,357,0,932,206,69,0,0,137,0,0,0,726,345,0,24,0,0,357,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371864031","15000US060371864031","Block Group 1","Block Group 1, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015241",,,,,"06","037",,,,"186403","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,1031,14479.33,0.0712049631117982,1031,489,19,53,236,0,182,52,1031,411,148,19,0,236,0,0,8,620,341,0,53,0,0,182,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371864032","15000US060371864032","Block Group 2","Block Group 2, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015242",,,,,"06","037",,,,"186403","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1712,1712,12275.23,0.139467827650167,1712,771,8,65,443,0,406,19,1712,591,176,8,0,394,0,0,13,1121,595,0,65,49,0,406,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371871011","15000US060371871011","Block Group 1","Block Group 1, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015245",,,,,"06","037",,,,"187101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,1041,8330.457,0.124963127242288,1041,541,27,22,203,0,186,62,1041,669,413,27,0,203,0,0,26,372,128,0,22,0,0,186,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371871012","15000US060371871012","Block Group 2","Block Group 2, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015246",,,,,"06","037",,,,"187101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226,2226,13197.65,0.168666418531669,2226,1466,0,26,458,0,263,13,2226,1315,851,0,0,458,0,0,6,911,615,0,26,0,0,263,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371871021","15000US060371871021","Block Group 1","Block Group 1, Census Tract 1871.02, Los Angeles County, California","ca","150","00","ACSSF","0015247",,,,,"06","037",,,,"187102","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,1010,11701.95,0.0863104385039622,1010,419,0,0,156,0,414,21,1010,400,223,0,0,156,0,0,21,610,196,0,0,0,0,414,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371871022","15000US060371871022","Block Group 2","Block Group 2, Census Tract 1871.02, Los Angeles County, California","ca","150","00","ACSSF","0015248",,,,,"06","037",,,,"187102","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2887,2887,4320.63,0.668189582345555,2887,1044,44,123,711,26,912,27,2887,1174,422,44,13,632,26,10,27,1713,622,0,110,79,0,902,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371881001","15000US060371881001","Block Group 1","Block Group 1, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015253",,,,,"06","037",,,,"188100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717,1717,3001.68,0.572013074964054,1717,741,44,95,60,0,525,252,1717,940,626,44,0,60,0,47,163,777,115,0,95,0,0,478,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371881002","15000US060371881002","Block Group 2","Block Group 2, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015254",,,,,"06","037",,,,"188100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831,831,6083.685,0.13659484136606,831,458,0,0,173,0,168,32,831,480,275,0,0,173,0,0,32,351,183,0,0,0,0,168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371881003","15000US060371881003","Block Group 3","Block Group 3, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015255",,,,,"06","037",,,,"188100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415,1415,13997.05,0.101092746375659,1415,655,26,0,167,0,532,35,1415,339,111,26,0,167,0,0,35,1076,544,0,0,0,0,532,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
