Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_B14001_001,SE_B14001_002,SE_B14001_003,SE_B14001_004,SE_B14001_005,SE_B14001_006
"060371863011","15000US060371863011","Block Group 1, Census Tract 1863.01, Los Angeles County, California","Block Group 1, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015232",,,,,"06","037",,,,"186301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,46,67,54,50,113
"060371863012","15000US060371863012","Block Group 2, Census Tract 1863.01, Los Angeles County, California","Block Group 2, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015233",,,,,"06","037",,,,"186301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,95,148,31,9,44
"060371863013","15000US060371863013","Block Group 3, Census Tract 1863.01, Los Angeles County, California","Block Group 3, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015234",,,,,"06","037",,,,"186301","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,73,129,44,10,12
"060371863021","15000US060371863021","Block Group 1, Census Tract 1863.02, Los Angeles County, California","Block Group 1, Census Tract 1863.02, Los Angeles County, California","ca","150","00","ACSSF","0015235",,,,,"06","037",,,,"186302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,129,115,109,71,160
"060371864011","15000US060371864011","Block Group 1, Census Tract 1864.01, Los Angeles County, California","Block Group 1, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015238",,,,,"06","037",,,,"186401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,199,167,172,69,68
"060371864012","15000US060371864012","Block Group 2, Census Tract 1864.01, Los Angeles County, California","Block Group 2, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015239",,,,,"06","037",,,,"186401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,142,64,44,5,41
"060371864031","15000US060371864031","Block Group 1, Census Tract 1864.03, Los Angeles County, California","Block Group 1, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015240",,,,,"06","037",,,,"186403","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,112,61,66,76,74
"060371864032","15000US060371864032","Block Group 2, Census Tract 1864.03, Los Angeles County, California","Block Group 2, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015241",,,,,"06","037",,,,"186403","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,113,124,48,33,140
"060371871011","15000US060371871011","Block Group 1, Census Tract 1871.01, Los Angeles County, California","Block Group 1, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015244",,,,,"06","037",,,,"187101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,107,86,66,79,120
"060371871012","15000US060371871012","Block Group 2, Census Tract 1871.01, Los Angeles County, California","Block Group 2, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015245",,,,,"06","037",,,,"187101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633,130,91,35,168,209
