Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10036_001
"060371863011","15000US060371863011","Block Group 1, Census Tract 1863.01, Los Angeles County, California","Block Group 1, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015232",,,,,"06","037",,,,"186301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444300
"060371863012","15000US060371863012","Block Group 2, Census Tract 1863.01, Los Angeles County, California","Block Group 2, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015233",,,,,"06","037",,,,"186301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371863013","15000US060371863013","Block Group 3, Census Tract 1863.01, Los Angeles County, California","Block Group 3, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015234",,,,,"06","037",,,,"186301","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587500
"060371863021","15000US060371863021","Block Group 1, Census Tract 1863.02, Los Angeles County, California","Block Group 1, Census Tract 1863.02, Los Angeles County, California","ca","150","00","ACSSF","0015235",,,,,"06","037",,,,"186302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547500
"060371864011","15000US060371864011","Block Group 1, Census Tract 1864.01, Los Angeles County, California","Block Group 1, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015238",,,,,"06","037",,,,"186401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632100
"060371864012","15000US060371864012","Block Group 2, Census Tract 1864.01, Los Angeles County, California","Block Group 2, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015239",,,,,"06","037",,,,"186401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060371864031","15000US060371864031","Block Group 1, Census Tract 1864.03, Los Angeles County, California","Block Group 1, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015240",,,,,"06","037",,,,"186403","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590900
"060371864032","15000US060371864032","Block Group 2, Census Tract 1864.03, Los Angeles County, California","Block Group 2, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015241",,,,,"06","037",,,,"186403","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588400
"060371871011","15000US060371871011","Block Group 1, Census Tract 1871.01, Los Angeles County, California","Block Group 1, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015244",,,,,"06","037",,,,"187101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591400
"060371871012","15000US060371871012","Block Group 2, Census Tract 1871.01, Los Angeles County, California","Block Group 2, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015245",,,,,"06","037",,,,"187101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695000
"060371871021","15000US060371871021","Block Group 1, Census Tract 1871.02, Los Angeles County, California","Block Group 1, Census Tract 1871.02, Los Angeles County, California","ca","150","00","ACSSF","0015246",,,,,"06","037",,,,"187102","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637000
"060371871022","15000US060371871022","Block Group 2, Census Tract 1871.02, Los Angeles County, California","Block Group 2, Census Tract 1871.02, Los Angeles County, California","ca","150","00","ACSSF","0015247",,,,,"06","037",,,,"187102","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638400
"060371881001","15000US060371881001","Block Group 1, Census Tract 1881, Los Angeles County, California","Block Group 1, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015252",,,,,"06","037",,,,"188100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601200
"060371881002","15000US060371881002","Block Group 2, Census Tract 1881, Los Angeles County, California","Block Group 2, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015253",,,,,"06","037",,,,"188100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646400
"060371881003","15000US060371881003","Block Group 3, Census Tract 1881, Los Angeles County, California","Block Group 3, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015254",,,,,"06","037",,,,"188100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787800
"060371883001","15000US060371883001","Block Group 1, Census Tract 1883, Los Angeles County, California","Block Group 1, Census Tract 1883, Los Angeles County, California","ca","150","00","ACSSF","0015261",,,,,"06","037",,,,"188300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713000
"060371883002","15000US060371883002","Block Group 2, Census Tract 1883, Los Angeles County, California","Block Group 2, Census Tract 1883, Los Angeles County, California","ca","150","00","ACSSF","0015262",,,,,"06","037",,,,"188300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667200
