Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A14006_001,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A14008_001,SE_A14010_001,SE_A14011_001,SE_A14012_001,SE_A14013_001,SE_A14014_001,SE_A14014_002,SE_A14014_003,SE_A14014_004,SE_A14014_005,SE_A14014_006,SE_A14014_007,SE_A15001_001,SE_A15001_002,SE_A15001_003,SE_A15001_004,SE_A15001_005,SE_A15001_006,SE_A15001_007,SE_A15001_008,SE_A15001_009,SE_A15001_010,SE_A15001_011,SE_A15001_012,SE_A15001_013,SE_A15001_014,SE_A15001_015,SE_A15001_016,SE_A15001_017,SE_A15001_018,SE_A14015_001,SE_A14015_002,SE_A14015_003,SE_A10011_001,SE_A10011_002,SE_A10011_003,SE_A10019_001,SE_A10019_002,SE_A10019_003,SE_A10016_001,SE_A10016_002,SE_A10016_003,SE_A10012_001,SE_A10012_002,SE_A10012_003,SE_A10017_001,SE_A10017_002,SE_A10017_003,SE_A10018_001,SE_A10018_002,SE_A10018_003,SE_A10014_001,SE_A10014_002,SE_A10014_003,SE_A10015_001,SE_A10015_002,SE_A10015_003,SE_A10013_001,SE_A10013_002,SE_A10013_003,SE_A14024_001,SE_A14024A_001,SE_A14024B_001,SE_A14024C_001,SE_A14024D_001,SE_A14024E_001,SE_A14024F_001,SE_A14024G_001,SE_A14024H_001,SE_A14024I_001
"060372190203","15000US060372190203","Block Group 3, Census Tract 2190.20, Los Angeles County, California","Block Group 3, Census Tract 2190.20, Los Angeles County, California","ca","150","00","ACSSF","0015882",,,,,"06","037",,,,"219020","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937,937,12246.21,0.0765134819157463,347,48,61,8,43,9,19,0,27,37,0,39,38,0,18,0,0,30592,30592,,17031,,,,49886,,49886,,41818.1556195965,45250,51923.3333333333,20673,34123.8578680203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,246,101,347,246,101,347,9,338,347,24,323,347,63,284,347,13,334,347,19,328,347,37,310,347,0,347,16931,10671,22495,,,,14198,,14194,10671
"060372314001","15000US060372314001","Block Group 1, Census Tract 2314, Los Angeles County, California","Block Group 1, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016053",,,,,"06","037",,,,"231400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728,1728,22155.5,0.0779941837568359,507,105,33,44,51,11,12,29,0,15,78,79,20,4,0,26,0,34479,34479,19500,21152,,,,53004,16250,37155,,43010.0591715976,52582,51781.6272965879,3958,9631.74603174603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,343,164,507,343,164,507,23,484,507,48,459,507,182,325,507,21,486,507,33,474,507,55,452,507,78,429,14213,7600,18239,,,,13510,14865,12271,
"060372314002","15000US060372314002","Block Group 2, Census Tract 2314, Los Angeles County, California","Block Group 2, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016054",,,,,"06","037",,,,"231400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398,1398,17705.38,0.0789590530921379,414,57,35,27,0,37,0,99,26,9,12,34,23,18,27,10,0,37125,37125,29808,39141,,19265,,36773,,36715,,47411.5942028986,36860,52305.3156146179,37656,30653.0973451327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,322,92,414,288,126,414,62,352,414,41,373,414,115,299,414,66,348,414,25,389,414,49,365,414,68,346,14811,7729,27680,,10863,,8790,,8374,
"060372314003","15000US060372314003","Block Group 3, Census Tract 2314, Los Angeles County, California","Block Group 3, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016055",,,,,"06","037",,,,"231400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673,1673,20198.06,0.0828297273964204,448,28,57,10,53,13,56,20,21,19,74,63,28,0,6,0,0,35875,35875,31806,30350,,,,51652,,44375,,40792.8571428571,31818,37324.7222222222,36250,44189.7727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,356,92,448,332,116,448,83,365,448,69,379,448,95,353,448,28,420,448,75,373,448,86,362,448,8,440,11425,6601,20653,,,,10916,22973,9449,
"060372315002","15000US060372315002","Block Group 2, Census Tract 2315, Los Angeles County, California","Block Group 2, Census Tract 2315, Los Angeles County, California","ca","150","00","ACSSF","0016057",,,,,"06","037",,,,"231500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569,1569,13619.46,0.115202850360697,459,27,65,53,27,26,9,25,17,10,82,35,35,3,26,10,9,37250,37250,75625,35900,,,,17457,,31944,,50646.1873638344,48375,53389.0577507599,24583,36757.6923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,390,69,459,390,69,459,45,414,459,19,440,459,94,365,459,34,425,459,0,459,459,44,415,459,49,410,17031,14191,30441,,,,9619,5929,8977,5553
"060372315003","15000US060372315003","Block Group 3, Census Tract 2315, Los Angeles County, California","Block Group 3, Census Tract 2315, Los Angeles County, California","ca","150","00","ACSSF","0016058",,,,,"06","037",,,,"231500","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283,1283,11029.64,0.116322932770345,410,11,14,121,8,56,0,0,21,27,41,58,24,17,12,0,0,29734,29734,58462,29353,,15431,,25278,,56563,,44478.2926829268,42976,48147.7272727273,16850,30846.0784313725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,291,119,410,269,141,410,70,340,410,24,386,410,118,292,410,56,354,410,0,410,410,37,373,410,25,385,14881,14214,18319,,7640,,12005,,12516,
"060372340001","15000US060372340001","Block Group 1, Census Tract 2340, Los Angeles County, California","Block Group 1, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016103",,,,,"06","037",,,,"234000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2549,2549,20125.41,0.126655799177448,766,69,43,9,91,28,12,0,43,24,112,55,133,76,0,51,20,55326,55326,34271,52396,,,,56304,,55299,,66104.3080939948,65781,72672.5978647687,28214,44218.6274509804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,649,117,766,601,165,766,90,676,766,137,629,766,177,589,766,71,695,766,111,655,766,128,638,766,191,575,21053,20667,25885,,27468,,13826,20549,13748,72311
"060372340002","15000US060372340002","Block Group 2, Census Tract 2340, Los Angeles County, California","Block Group 2, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016104",,,,,"06","037",,,,"234000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,542,6354.619,0.0852922870685115,262,37,0,0,10,0,0,6,7,0,39,9,97,40,0,17,0,80143,80143,,76429,,,,,,,,73925.9541984733,81357,83187.3333333333,53182,61522.3214285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,230,32,262,221,41,262,15,247,262,63,199,262,105,157,262,9,253,262,8,254,262,88,174,262,53,209,37748,,36072,,,,,,,
"060372340003","15000US060372340003","Block Group 3, Census Tract 2340, Los Angeles County, California","Block Group 3, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016105",,,,,"06","037",,,,"234000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,631,6396.534,0.0986471751992673,238,7,14,7,9,7,0,0,46,0,0,25,75,24,9,15,0,83929,83929,,87925,,13542,,,,,,73058.4033613445,88700,88135.8208955224,40769,53632.6923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,166,72,238,146,92,238,20,218,238,67,171,238,89,149,238,20,218,238,36,202,238,66,172,238,29,209,28742,41691,27979,,13762,,,,,41691
"060372340004","15000US060372340004","Block Group 4, Census Tract 2340, Los Angeles County, California","Block Group 4, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016106",,,,,"06","037",,,,"234000","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,957,12341.44,0.0775436025186217,411,23,47,105,8,16,26,51,0,15,37,19,25,39,0,0,0,30625,30625,,26528,,,,,,,,38419.2214111922,50298,55302.6737967914,19271,24324.5535714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,308,103,411,292,119,411,41,370,411,23,388,411,130,281,411,34,377,411,0,411,411,87,324,411,63,348,17603,,18511,,,,10760,,14258,
