Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A04002_001,SE_A04002_002,SE_A04002_003,SE_A04002_004,SE_A04002_005,SE_A04002_006,SE_A04002_007,SE_A04002_008,SE_A04002_009,SE_A04002_010,SE_A04002_011,SE_A04002_012,SE_A04002_013,SE_A04002_014,SE_A04002_015,SE_A04002_016,SE_A04002_017,SE_A04002_018,SE_A04002_019,SE_A04002_020,SE_A04002_021,SE_A04002_022,SE_A04002_023,SE_A04002_024,SE_A04002_025,SE_A04002_026,SE_A04002_027,SE_A04002_028,SE_A04002_029,SE_A04002_030,SE_A04002_031,SE_B03002_001,SE_B03002_002,SE_B03002_003,SE_B03002_004,SE_B03002_005,SE_B03002_006,SE_B03002_007,SE_B03002_008,SE_B03002_009,SE_B03002_010,SE_B03002_011,SE_B03002_012,SE_B03002_013,SE_B03002_014,SE_B03002_015,SE_B03002_016,SE_B03002_017,SE_B03002_018,SE_B03002_019
"060372190203","15000US060372190203","Block Group 3, Census Tract 2190.20, Los Angeles County, California","Block Group 3, Census Tract 2190.20, Los Angeles County, California","ca","150","00","ACSSF","0015882",,,,,"06","037",,,,"219020","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937,937,12246.21,0.0765134819157463,937,7,302,0,13,0,615,0,937,324,7,302,0,13,0,2,0,613,0,0,0,0,0,613,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372314001","15000US060372314001","Block Group 1, Census Tract 2314, Los Angeles County, California","Block Group 1, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016053",,,,,"06","037",,,,"231400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728,1728,22155.5,0.0779941837568359,1728,214,513,0,0,0,961,40,1728,489,0,489,0,0,0,0,0,1239,214,24,0,0,0,961,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372314002","15000US060372314002","Block Group 2, Census Tract 2314, Los Angeles County, California","Block Group 2, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016054",,,,,"06","037",,,,"231400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398,1398,17705.38,0.0789590530921379,1398,344,460,0,51,0,534,9,1398,520,0,460,0,51,0,0,9,878,344,0,0,0,0,534,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372314003","15000US060372314003","Block Group 3, Census Tract 2314, Los Angeles County, California","Block Group 3, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016055",,,,,"06","037",,,,"231400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673,1673,20198.06,0.0828297273964204,1673,680,265,0,0,22,629,77,1673,306,21,265,0,0,0,0,20,1367,659,0,0,0,22,629,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372315002","15000US060372315002","Block Group 2, Census Tract 2315, Los Angeles County, California","Block Group 2, Census Tract 2315, Los Angeles County, California","ca","150","00","ACSSF","0016057",,,,,"06","037",,,,"231500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569,1569,13619.46,0.115202850360697,1569,263,513,0,0,0,724,69,1569,710,15,513,0,0,0,166,16,859,248,0,0,0,0,558,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372315003","15000US060372315003","Block Group 3, Census Tract 2315, Los Angeles County, California","Block Group 3, Census Tract 2315, Los Angeles County, California","ca","150","00","ACSSF","0016058",,,,,"06","037",,,,"231500","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283,1283,11029.64,0.116322932770345,1283,456,401,0,91,12,285,38,1283,561,25,401,0,91,12,0,32,722,431,0,0,0,0,285,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372340001","15000US060372340001","Block Group 1, Census Tract 2340, Los Angeles County, California","Block Group 1, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016103",,,,,"06","037",,,,"234000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2549,2549,20125.41,0.126655799177448,2549,218,1285,14,63,0,898,71,2549,1399,28,1268,6,63,0,0,34,1150,190,17,8,0,0,898,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372340002","15000US060372340002","Block Group 2, Census Tract 2340, Los Angeles County, California","Block Group 2, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016104",,,,,"06","037",,,,"234000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,542,6354.619,0.0852922870685115,542,10,518,0,6,0,0,8,542,512,10,488,0,6,0,0,8,30,0,30,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372340003","15000US060372340003","Block Group 3, Census Tract 2340, Los Angeles County, California","Block Group 3, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016105",,,,,"06","037",,,,"234000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,631,6396.534,0.0986471751992673,631,35,568,0,21,0,0,7,631,631,35,568,0,21,0,0,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372340004","15000US060372340004","Block Group 4, Census Tract 2340, Los Angeles County, California","Block Group 4, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016106",,,,,"06","037",,,,"234000","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,957,12341.44,0.0775436025186217,957,1,831,0,0,0,117,8,957,832,1,823,0,0,0,0,8,125,0,8,0,0,0,117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
