Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A04002_001,SE_A04002_002,SE_A04002_003,SE_A04002_004,SE_A04002_005,SE_A04002_006,SE_A04002_007,SE_A04002_008,SE_A04002_009,SE_A04002_010,SE_A04002_011,SE_A04002_012,SE_A04002_013,SE_A04002_014,SE_A04002_015,SE_A04002_016,SE_A04002_017,SE_A04002_018,SE_A04002_019,SE_A04002_020,SE_A04002_021,SE_A04002_022,SE_A04002_023,SE_A04002_024,SE_A04002_025,SE_A04002_026,SE_A04002_027,SE_A04002_028,SE_A04002_029,SE_A04002_030,SE_A04002_031,SE_A03002_001,SE_A03002_002,SE_A03002_003,SE_A03002_020,SE_A03002_021,SE_A03002_004,SE_A03002_005,SE_A03002_006,SE_A03002_007,SE_A03002_008,SE_A03002_009,SE_A03002_010,SE_A03002_011,SE_A03002_012,SE_A03002_022,SE_A03002_023,SE_A03002_024,SE_A03002_013,SE_A03002_014,SE_A03002_015,SE_A03002_016,SE_A03002_017,SE_A03002_018,SE_A03002_019,SE_A03002_025
"060372190203","15000US060372190203","Block Group 3","Block Group 3, Census Tract 2190.20, Los Angeles County, California","ca","150","00","ACSSF","0015884",,,,,"06","037",,,,"219020","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078,1078,14089.02,0.0765134819157463,1078,235,424,0,28,0,382,9,1078,460,8,424,0,28,0,0,0,618,227,0,0,0,0,382,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372314001","15000US060372314001","Block Group 1","Block Group 1, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016055",,,,,"06","037",,,,"231400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,1315,16860.23,0.0779941837568359,1315,412,241,0,38,0,616,8,1315,325,38,241,0,38,0,0,8,990,374,0,0,0,0,616,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372314002","15000US060372314002","Block Group 2","Block Group 2, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016056",,,,,"06","037",,,,"231400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734,1734,21960.75,0.0789590530921379,1734,290,883,0,0,0,531,30,1734,917,80,837,0,0,0,0,0,817,210,46,0,0,0,531,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372314003","15000US060372314003","Block Group 3","Block Group 3, Census Tract 2314, Los Angeles County, California","ca","150","00","ACSSF","0016057",,,,,"06","037",,,,"231400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607,1607,19401.25,0.0828297273964204,1607,508,324,0,9,0,734,32,1607,349,0,299,0,9,0,41,0,1258,508,25,0,0,0,693,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372315002","15000US060372315002","Block Group 2","Block Group 2, Census Tract 2315, Los Angeles County, California","ca","150","00","ACSSF","0016059",,,,,"06","037",,,,"231500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2113,2113,18341.56,0.115202850360697,2113,615,821,0,38,0,611,28,2113,880,0,811,0,38,0,9,22,1233,615,10,0,0,0,602,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372315003","15000US060372315003","Block Group 3","Block Group 3, Census Tract 2315, Los Angeles County, California","ca","150","00","ACSSF","0016060",,,,,"06","037",,,,"231500","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410,1410,12121.43,0.116322932770345,1410,227,304,0,105,0,728,46,1410,465,10,304,0,105,0,0,46,945,217,0,0,0,0,728,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372340001","15000US060372340001","Block Group 1","Block Group 1, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016105",,,,,"06","037",,,,"234000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,1890,14922.33,0.126655799177448,1890,396,945,0,0,0,513,36,1890,777,14,727,0,0,0,0,36,1113,382,218,0,0,0,513,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372340002","15000US060372340002","Block Group 2","Block Group 2, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016106",,,,,"06","037",,,,"234000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,612,7175.326,0.0852922870685115,612,98,389,17,10,0,34,64,612,497,98,389,0,10,0,0,0,115,0,0,17,0,0,34,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372340003","15000US060372340003","Block Group 3","Block Group 3, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016107",,,,,"06","037",,,,"234000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,781,7917.104,0.0986471751992673,781,108,618,0,20,0,0,35,781,753,88,618,0,20,0,0,27,28,20,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"060372340004","15000US060372340004","Block Group 4","Block Group 4, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016108",,,,,"06","037",,,,"234000","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307,1307,16855.03,0.0775436025186217,1307,326,912,0,5,0,20,44,1307,1045,98,898,0,5,0,0,44,262,228,14,0,0,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
