Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10036_001
"060372190203","15000US060372190203","Block Group 3, Census Tract 2190.20, Los Angeles County, California","Block Group 3, Census Tract 2190.20, Los Angeles County, California","ca","150","00","ACSSF","0015883",,,,,"06","037",,,,"219020","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302900
"060372340001","15000US060372340001","Block Group 1, Census Tract 2340, Los Angeles County, California","Block Group 1, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016104",,,,,"06","037",,,,"234000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406900
"060372340002","15000US060372340002","Block Group 2, Census Tract 2340, Los Angeles County, California","Block Group 2, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016105",,,,,"06","037",,,,"234000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447500
"060372340003","15000US060372340003","Block Group 3, Census Tract 2340, Los Angeles County, California","Block Group 3, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016106",,,,,"06","037",,,,"234000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614900
"060372340004","15000US060372340004","Block Group 4, Census Tract 2340, Los Angeles County, California","Block Group 4, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016107",,,,,"06","037",,,,"234000","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454900
"060372340005","15000US060372340005","Block Group 5, Census Tract 2340, Los Angeles County, California","Block Group 5, Census Tract 2340, Los Angeles County, California","ca","150","00","ACSSF","0016108",,,,,"06","037",,,,"234000","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350900
"060372342001","15000US060372342001","Block Group 1, Census Tract 2342, Los Angeles County, California","Block Group 1, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016109",,,,,"06","037",,,,"234200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573200
"060372342002","15000US060372342002","Block Group 2, Census Tract 2342, Los Angeles County, California","Block Group 2, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016110",,,,,"06","037",,,,"234200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608900
"060372342003","15000US060372342003","Block Group 3, Census Tract 2342, Los Angeles County, California","Block Group 3, Census Tract 2342, Los Angeles County, California","ca","150","00","ACSSF","0016111",,,,,"06","037",,,,"234200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546900
"060372343001","15000US060372343001","Block Group 1, Census Tract 2343, Los Angeles County, California","Block Group 1, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016112",,,,,"06","037",,,,"234300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582000
"060372343002","15000US060372343002","Block Group 2, Census Tract 2343, Los Angeles County, California","Block Group 2, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016113",,,,,"06","037",,,,"234300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320900
"060372343003","15000US060372343003","Block Group 3, Census Tract 2343, Los Angeles County, California","Block Group 3, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016114",,,,,"06","037",,,,"234300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657400
"060372343004","15000US060372343004","Block Group 4, Census Tract 2343, Los Angeles County, California","Block Group 4, Census Tract 2343, Los Angeles County, California","ca","150","00","ACSSF","0016115",,,,,"06","037",,,,"234300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424700
