Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10032_001,SE_A10032_002,SE_A10032_003,SE_A10032_004,SE_A10032_005,SE_A10032_006,SE_A10032_007,SE_A10032_008,SE_A10032_009,SE_A10032_010,SE_A10032_011,SE_A10032_012
"060371863011","15000US060371863011","Block Group 1","Block Group 1, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015233",,,,,"06","037",,,,"186301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,225,212,13,34,19,26,4,15,0,0,0
"060371863012","15000US060371863012","Block Group 2","Block Group 2, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015234",,,,,"06","037",,,,"186301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,43,40,3,18,23,48,105,79,0,0,0
"060371863013","15000US060371863013","Block Group 3","Block Group 3, Census Tract 1863.01, Los Angeles County, California","ca","150","00","ACSSF","0015235",,,,,"06","037",,,,"186301","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,88,84,4,5,15,43,154,24,0,0,0
"060371863021","15000US060371863021","Block Group 1","Block Group 1, Census Tract 1863.02, Los Angeles County, California","ca","150","00","ACSSF","0015236",,,,,"06","037",,,,"186302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,446,437,9,25,77,0,11,37,8,0,0
"060371864011","15000US060371864011","Block Group 1","Block Group 1, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015239",,,,,"06","037",,,,"186401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,252,235,17,54,36,97,154,53,65,0,0
"060371864012","15000US060371864012","Block Group 2","Block Group 2, Census Tract 1864.01, Los Angeles County, California","ca","150","00","ACSSF","0015240",,,,,"06","037",,,,"186401","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,99,77,22,16,0,29,116,5,63,0,0
"060371864031","15000US060371864031","Block Group 1","Block Group 1, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015241",,,,,"06","037",,,,"186403","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,250,237,13,52,33,21,19,14,0,0,0
"060371864032","15000US060371864032","Block Group 2","Block Group 2, Census Tract 1864.03, Los Angeles County, California","ca","150","00","ACSSF","0015242",,,,,"06","037",,,,"186403","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,362,315,47,32,15,11,60,0,0,0,0
"060371871011","15000US060371871011","Block Group 1","Block Group 1, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015245",,,,,"06","037",,,,"187101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,369,325,44,0,26,51,16,0,0,0,0
"060371871012","15000US060371871012","Block Group 2","Block Group 2, Census Tract 1871.01, Los Angeles County, California","ca","150","00","ACSSF","0015246",,,,,"06","037",,,,"187101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,602,521,81,55,6,108,36,0,7,0,0
"060371871021","15000US060371871021","Block Group 1","Block Group 1, Census Tract 1871.02, Los Angeles County, California","ca","150","00","ACSSF","0015247",,,,,"06","037",,,,"187102","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,233,212,21,11,41,25,74,12,0,0,0
"060371871022","15000US060371871022","Block Group 2","Block Group 2, Census Tract 1871.02, Los Angeles County, California","ca","150","00","ACSSF","0015248",,,,,"06","037",,,,"187102","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,500,468,32,38,2,56,80,68,123,42,0
"060371881001","15000US060371881001","Block Group 1","Block Group 1, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015253",,,,,"06","037",,,,"188100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,239,218,21,71,55,54,55,117,349,0,0
"060371881002","15000US060371881002","Block Group 2","Block Group 2, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015254",,,,,"06","037",,,,"188100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,141,109,32,58,164,58,34,0,24,0,0
"060371881003","15000US060371881003","Block Group 3","Block Group 3, Census Tract 1881, Los Angeles County, California","ca","150","00","ACSSF","0015255",,,,,"06","037",,,,"188100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,326,314,12,14,27,24,28,0,0,0,0
"060371883001","15000US060371883001","Block Group 1","Block Group 1, Census Tract 1883, Los Angeles County, California","ca","150","00","ACSSF","0015262",,,,,"06","037",,,,"188300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,485,402,83,23,27,0,0,0,0,0,0
"060371883002","15000US060371883002","Block Group 2","Block Group 2, Census Tract 1883, Los Angeles County, California","ca","150","00","ACSSF","0015263",,,,,"06","037",,,,"188300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,350,336,14,55,8,28,0,0,0,0,0
"060371883003","15000US060371883003","Block Group 3","Block Group 3, Census Tract 1883, Los Angeles County, California","ca","150","00","ACSSF","0015264",,,,,"06","037",,,,"188300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553,348,312,36,205,0,0,0,0,0,0,0
